selection_strategy,selection_rank,row_id,sample_name,label_numeric,primary_probability,record_category,target_region_group,paired_light_status,confidence_bin,developability_risk_bin,has_structure,cluster_id
highest_score,80,980,ADI-63218,1,0.8948479498604627,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,81,6886,C903,1,0.8947085983661288,known_neutralising,RBD,paired,high,low,False,4
highest_score,82,2678,BD-605,1,0.8945195778330853,conflict_label,RBD,paired,high,low,False,
highest_score,83,6585,C3119,1,0.8942763819580247,known_neutralising,RBD,paired,high,low,False,4
highest_score,84,11012,BD56-1916,1,0.8940776369796669,conflict_label,RBD,paired,high,medium,False,
highest_score,85,9093,R207-2G4,1,0.8939732967499223,known_neutralising,RBD,paired,high,low,False,4
highest_score,86,8968,PDI-226,0,0.8937310262300713,known_non_neutralising,RBD,paired,high,low,False,7
highest_score,87,2048,C102,1,0.8924921895533116,conflict_label,RBD,paired,high,low,True,
highest_score,88,9895,WNb-5,1,0.8918881783702566,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,89,5475,aRBD-3,1,0.8903777139161231,known_neutralising,RBD,light_missing_or_single_chain,high,medium,False,6
highest_score,90,6979,CAB-C19,1,0.8901540376197618,known_neutralising,RBD,paired,high,low,False,1
highest_score,91,960,ADI-63196,1,0.8894791600571893,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,92,6819,C836,1,0.8893918175465417,known_neutralising,RBD,paired,high,low,False,1
highest_score,93,2563,ADI-75774,1,0.8887432395802527,known_neutralising,RBD,paired,high,low,False,1
highest_score,94,5767,C1303,1,0.8881009240300239,known_neutralising,RBD,paired,high,low,False,4
highest_score,95,6328,C2232,1,0.8880813572842655,known_neutralising,RBD,paired,high,low,False,7
highest_score,96,5709,C123,1,0.8875894109219015,known_neutralising,RBD,paired,high,low,False,3
highest_score,97,1381,034-32,1,0.887342392544065,known_neutralising,RBD,paired,high,low,False,1
highest_score,98,6918,C937,1,0.886575643726579,known_neutralising,RBD,paired,high,low,False,4
highest_score,99,6485,C2629,1,0.8858002258787407,known_neutralising,RBD,paired,high,low,False,4
highest_score,100,10647,BD56-1476,1,0.8857164217935898,known_neutralising,RBD,paired,high,low,False,4
highest_score,101,2034,COVA2-04,1,0.885565281826067,conflict_label,RBD,paired,high,low,True,
highest_score,102,5404,Ab_57B8,1,0.8854357119077431,known_neutralising,RBD,paired,high,low,False,7
highest_score,103,9892,WNb-45,1,0.8841613032419081,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,104,7941,eCC12.1.4,1,0.8835510776093075,known_neutralising,RBD,paired,high,low,False,7
highest_score,105,5753,C1287,1,0.8834371093800824,known_neutralising,RBD,paired,high,low,False,4
highest_score,106,1178,Park_35-46,1,0.8833285649989806,known_neutralising,RBD,light_missing_or_single_chain,high,medium,False,5
highest_score,107,9120,R3P1-E4,1,0.8829704019541492,known_neutralising,RBD,paired,high,low,False,1
highest_score,108,7942,eCC12.1.5,1,0.8824968163211572,known_neutralising,RBD,paired,high,low,False,7
highest_score,109,6744,C663,1,0.8822753192816637,known_neutralising,RBD,paired,high,low,False,1
highest_score,110,7946,eCC12.1.9,1,0.8822607499744065,conflict_label,RBD,paired,high,low,False,
highest_score,111,8756,Omi-3,1,0.8821533730869868,conflict_label,RBD,paired,high,low,True,
highest_score,112,9246,REGN10986,1,0.8816768319052286,known_neutralising,RBD,paired,high,low,False,1
